WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,Estimates Start After
534,IND,India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2182.58 ,2384.73 ,2607.41 ,2846.16 ,3131.95 ,2015
536,IDN,Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",872.62 ,875.75 ,950.44 ,1021.23 ,1103.29 ,2014
429,IRN,Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",396.92 ,416.22 ,447.03 ,480.76 ,516.51 ,2015
433,IRQ,Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",165.06 ,176.42 ,200.39 ,223.89 ,247.00 ,2014
178,IRL,Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",227.50 ,240.45 ,254.36 ,267.75 ,280.73 ,2014
436,ISR,Israel,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",298.87 ,312.43 ,319.39 ,325.56 ,331.09 ,2014
136,ITA,Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1819.05 ,1867.57 ,1932.94 ,1997.84 ,2061.97 ,2014
343,JAM,Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.82 ,14.13 ,14.71 ,15.43 ,16.21 ,2014
158,JPN,Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4116.24 ,4170.64 ,4342.16 ,4446.33 ,4590.91 ,2014
439,JOR,Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.21 ,40.89 ,43.82 ,46.94 ,50.28 ,2013
916,KAZ,Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",195.01 ,173.20 ,195.27 ,218.89 ,243.07 ,2014
